Rule,Confidence
{Drugi strokovni delavec} => {Drugi delavci},0.9090909090909091
{srednje} => {Sum na okužbo},0.9166666666666666
{srednje} => {Drugi strokovni delavec},0.8333333333333334
{Vzgojitelj} => {Okužba s Covid-19},0.9090909090909091
{Sum na okužbo} => {srednje},1.0
{Okužba s Covid-19} => {Učitelj},0.8333333333333334
{Drugi strokovni delavec} => {Sum na okužbo},0.9090909090909091
{Okužba s Covid-19} => {Okužba s Covid-19},0.9166666666666666
{Učitelj} => {Učitelj},0.9090909090909091
{Učitelj} => {Okužba s Covid-19},1.0
{srednje} => {srednje},1.0
{Drugi delavci} => {Okužba s Covid-19},0.8181818181818182
{Vzgojitelj} => {Drugi delavci},0.8181818181818182
{Okužba s Covid-19} => {Vzgojitelj},0.8333333333333334
{Sum na okužbo} => {Učitelj},0.75
{Okužba s Covid-19} => {Drugi delavci},0.8333333333333334
{Učitelj} => {Vzgojitelj},0.9090909090909091
{Drugi strokovni delavec} => {srednje},1.0
{Sum na okužbo} => {Okužba s Covid-19},1.0
{Vzgojitelj} => {Drugi strokovni delavec},0.8181818181818182
{Vzgojitelj} => {Sum na okužbo},0.8181818181818182
{Učitelj} => {Drugi delavci},0.8181818181818182
{Okužba s Covid-19} => {Drugi strokovni delavec},0.75
{srednje} => {Učitelj},0.8333333333333334
{Okužba s Covid-19} => {Sum na okužbo},0.9166666666666666
{srednje} => {Okužba s Covid-19},1.0
{Sum na okužbo} => {Vzgojitelj},0.8333333333333334
{Učitelj} => {Sum na okužbo},0.8181818181818182
{Učitelj} => {Drugi strokovni delavec},0.8181818181818182
{Sum na okužbo} => {Drugi delavci},0.8333333333333334
{Vzgojitelj} => {srednje},0.9090909090909091
{Drugi strokovni delavec} => {Učitelj},0.8181818181818182
{Drugi strokovni delavec} => {Okužba s Covid-19},0.9090909090909091
{srednje} => {Vzgojitelj},0.9166666666666666
{Okužba s Covid-19} => {srednje},0.9166666666666666
{Sum na okužbo} => {Sum na okužbo},0.75
{Sum na okužbo} => {Drugi strokovni delavec},0.8333333333333334
{srednje} => {Drugi delavci},0.8333333333333334
{Učitelj} => {srednje},1.0
"{srednje} => {Vzgojitelj}, {srednje}",0.75
"{srednje}, {Vzgojitelj} => {srednje}",0.8181818181818182
"{Vzgojitelj} => {srednje}, {srednje}",0.8181818181818182
"{Vzgojitelj}, {srednje} => {srednje}",0.9
"{Drugi strokovni delavec, srednje} => {srednje}",1.0
"{srednje} => {Sum na okužbo}, {Drugi delavci}",0.75
