REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
Central Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSTALO,malo,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,VRTEC,malo,Okužba pri delavcu,kratko
Central Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,GLASBENA ŠOLA,malo,Okužba pri delavcu,srednje
Western Slovenia,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,SREDNJA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,malo,Okužba pri delavcu,kratko
Central Slovenia,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,kratko
Western Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,GLASBENA ŠOLA,srednje,Sum na okužbo pri delavcu,srednje
Eastern Slovenia,OSTALO,malo,Okužba pri delavcu,kratko
Eastern Slovenia,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,kratko
Eastern Slovenia,VRTEC,srednje,Okužba pri delavcu,srednje
Eastern Slovenia,SREDNJA ŠOLA,srednje,Okužba pri delavcu,kratko
Western Slovenia,SREDNJA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje
