REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
Central Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri zaposlenem,srednje
Western Slovenia,VRTEC,srednje,Okužba pri zaposlenem,srednje
Central Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri zaposlenem,kratko
Western Slovenia,VRTEC,srednje,Sum na okužbo pri zaposlenem,kratko
Western Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,malo,Okužba pri zaposlenem,srednje
Western Slovenia,VRTEC,srednje,Sum na okužbo pri zaposlenem,srednje
Western Slovenia,VRTEC,malo,Okužba pri zaposlenem,srednje
Western Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri zaposlenem,srednje
Central Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,OSNOVNA ŠOLA,veliko,Sum na okužbo pri zaposlenem,kratko
Eastern Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Okužba pri zaposlenem,srednje
Central Slovenia,VRTEC,srednje,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,srednje,Okužba pri zaposlenem,srednje
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,VRTEC,malo,Okužba pri zaposlenem,kratko
Central Slovenia,VRTEC,srednje,Sum na okužbo pri zaposlenem,srednje
Central Slovenia,VRTEC,malo,Okužba pri zaposlenem,srednje
Central Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,VRTEC,malo,Sum na okužbo pri zaposlenem,kratko
Central Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri zaposlenem,srednje
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri zaposlenem,kratko
Eastern Slovenia,VRTEC,srednje,Sum na okužbo pri zaposlenem,srednje
Western Slovenia,OSNOVNA ŠOLA,malo,Okužba pri zaposlenem,srednje
Eastern Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,VRTEC,malo,Sum na okužbo pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,OSNOVNA ŠOLA,malo,Okužba pri zaposlenem,srednje
Western Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri zaposlenem,kratko
Central Slovenia,VRTEC,srednje,Okužba pri zaposlenem,kratko
Western Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri zaposlenem,kratko
Western Slovenia,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,malo,Sum na okužbo pri zaposlenem,kratko
Central Slovenia,VRTEC,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje
Central Slovenia,OSNOVNA ŠOLA,veliko,Sum na okužbo pri zaposlenem,kratko
Eastern Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri zaposlenem,srednje
Central Slovenia,OSNOVNA ŠOLA,veliko,Okužba pri zaposlenem,srednje
Eastern Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,OSNOVNA ŠOLA,malo,Sum na okužbo pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Sum na okužbo pri otroku / učencu / dijaku,kratko
Eastern Slovenia,VRTEC,srednje,Sum na okužbo pri zaposlenem,kratko
Central Slovenia,VRTEC,malo,Sum na okužbo pri otroku / učencu / dijaku,srednje
Eastern Slovenia,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje
Central Slovenia,OSNOVNA ŠOLA,malo,Okužba pri zaposlenem,kratko
Central Slovenia,SREDNJA ŠOLA,malo,Okužba pri zaposlenem,srednje
Central Slovenia,SREDNJA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,SREDNJA ŠOLA,malo,Sum na okužbo pri zaposlenem,srednje
Central Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,GLASBENA ŠOLA,veliko,Okužba pri zaposlenem,srednje
Eastern Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje
Eastern Slovenia,VRTEC,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje
