Sequence,Support,Relative Frequency
{1. star. obd.},8,0.6666666666666666
{malo},6,0.5
{Okužba s Covid-19 pri vzgojitelju},10,0.8333333333333334
{2. star. obd.},6,0.5
{zelo malo},10,0.8333333333333334
{9 days},11,0.9166666666666666
{Komb. 1. in 2. star. obd.},8,0.6666666666666666
"{zelo malo}, {1. star. obd.}",6,0.5
"{Okužba s Covid-19 pri vzgojitelju, zelo malo}",7,0.5833333333333334
"{zelo malo}, {Komb. 1. in 2. star. obd.}",6,0.5
"{9 days, Okužba s Covid-19 pri vzgojitelju}",8,0.6666666666666666
"{Komb. 1. in 2. star. obd.}, {9 days}",7,0.5833333333333334
"{1. star. obd., 9 days}",7,0.5833333333333334
"{9 days}, {9 days}",6,0.5
"{zelo malo}, {Okužba s Covid-19 pri vzgojitelju}",7,0.5833333333333334
"{Komb. 1. in 2. star. obd., Okužba s Covid-19 pri vzgojitelju}",6,0.5
"{Komb. 1. in 2. star. obd.}, {Komb. 1. in 2. star. obd.}",6,0.5
"{9 days, zelo malo}",8,0.6666666666666666
"{9 days}, {Komb. 1. in 2. star. obd.}",7,0.5833333333333334
"{1. star. obd., Okužba s Covid-19 pri vzgojitelju}",7,0.5833333333333334
"{Komb. 1. in 2. star. obd.}, {Okužba s Covid-19 pri vzgojitelju}",7,0.5833333333333334
"{zelo malo}, {zelo malo}",8,0.6666666666666666
"{Komb. 1. in 2. star. obd., zelo malo}",7,0.5833333333333334
"{9 days}, {Okužba s Covid-19 pri vzgojitelju}",7,0.5833333333333334
"{Komb. 1. in 2. star. obd.}, {zelo malo}",6,0.5
"{1. star. obd., zelo malo}",7,0.5833333333333334
"{zelo malo}, {9 days}",7,0.5833333333333334
"{9 days}, {zelo malo}",6,0.5
"{1. star. obd.}, {1. star. obd.}",6,0.5
"{zelo malo}, {1. star. obd., zelo malo}",6,0.5
"{9 days}, {Komb. 1. in 2. star. obd., Okužba s Covid-19 pri vzgojitelju}",6,0.5
"{9 days}, {Komb. 1. in 2. star. obd., zelo malo}",6,0.5
"{1. star. obd., zelo malo}, {1. star. obd.}",6,0.5
"{Komb. 1. in 2. star. obd., zelo malo}, {Okužba s Covid-19 pri vzgojitelju}",6,0.5
"{zelo malo}, {9 days, zelo malo}",6,0.5
"{Komb. 1. in 2. star. obd., zelo malo}, {zelo malo}",6,0.5
"{9 days, zelo malo}, {zelo malo}",6,0.5
"{Komb. 1. in 2. star. obd., zelo malo}, {9 days}",6,0.5
"{1. star. obd., Okužba s Covid-19 pri vzgojitelju, zelo malo}",6,0.5
"{9 days, zelo malo}, {Komb. 1. in 2. star. obd.}",6,0.5
"{zelo malo}, {Okužba s Covid-19 pri vzgojitelju, zelo malo}",6,0.5
