Sequence,Support,Relative Frequency
{OSNOVNA ŠOLA},12,1.0
{kratko},11,0.9166666666666666
{Okužba s Covid-19},12,1.0
{dolgo},9,0.75
{SREDNJA ŠOLA},10,0.8333333333333334
{srednje},12,1.0
{VRTEC},10,0.8333333333333334
{Sum na okužbo},12,1.0
"{SREDNJA ŠOLA, srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {Sum na okužbo}",12,1.0
"{Sum na okužbo, kratko}",10,0.8333333333333334
"{srednje}, {kratko}",9,0.75
"{srednje}, {Sum na okužbo}",12,1.0
"{OSNOVNA ŠOLA, Okužba s Covid-19}",11,0.9166666666666666
"{OSNOVNA ŠOLA, srednje}",12,1.0
"{Okužba s Covid-19}, {VRTEC}",9,0.75
"{SREDNJA ŠOLA}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{Sum na okužbo}, {srednje}",12,1.0
"{kratko}, {Okužba s Covid-19}",11,0.9166666666666666
"{Okužba s Covid-19}, {Okužba s Covid-19}",12,1.0
"{OSNOVNA ŠOLA}, {srednje}",12,1.0
"{Sum na okužbo, srednje}",12,1.0
"{VRTEC}, {Sum na okužbo}",9,0.75
"{srednje}, {srednje}",12,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo}",9,0.75
"{Sum na okužbo}, {SREDNJA ŠOLA}",10,0.8333333333333334
"{Sum na okužbo}, {VRTEC}",10,0.8333333333333334
"{Okužba s Covid-19}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{kratko}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{Sum na okužbo}, {Okužba s Covid-19}",12,1.0
"{OSNOVNA ŠOLA, kratko}",11,0.9166666666666666
"{Sum na okužbo, VRTEC}",10,0.8333333333333334
"{srednje}, {SREDNJA ŠOLA}",10,0.8333333333333334
"{Okužba s Covid-19}, {kratko}",9,0.75
"{SREDNJA ŠOLA}, {srednje}",9,0.75
"{srednje}, {VRTEC}",9,0.75
"{VRTEC}, {srednje}",9,0.75
"{OSNOVNA ŠOLA, Sum na okužbo}",12,1.0
"{kratko}, {Sum na okužbo}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19}",12,1.0
"{Okužba s Covid-19}, {Sum na okužbo}",12,1.0
"{srednje}, {Okužba s Covid-19}",12,1.0
"{Sum na okužbo}, {OSNOVNA ŠOLA}",12,1.0
"{VRTEC, srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{Okužba s Covid-19, SREDNJA ŠOLA}",10,0.8333333333333334
"{kratko}, {srednje}",10,0.8333333333333334
"{Okužba s Covid-19}, {srednje}",12,1.0
"{srednje}, {OSNOVNA ŠOLA}",12,1.0
"{Sum na okužbo}, {kratko}",9,0.75
"{Sum na okužbo}, {Sum na okužbo}",12,1.0
"{SREDNJA ŠOLA}, {Okužba s Covid-19}",10,0.8333333333333334
"{VRTEC}, {Okužba s Covid-19}",9,0.75
"{Okužba s Covid-19, srednje}",12,1.0
"{OSNOVNA ŠOLA, srednje}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{SREDNJA ŠOLA}, {Sum na okužbo}, {Sum na okužbo}",9,0.75
"{srednje}, {Sum na okužbo}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{Okužba s Covid-19, SREDNJA ŠOLA}, {OSNOVNA ŠOLA}",9,0.75
"{Okužba s Covid-19}, {Sum na okužbo, srednje}",12,1.0
"{Sum na okužbo}, {SREDNJA ŠOLA}, {Okužba s Covid-19}",10,0.8333333333333334
"{Sum na okužbo}, {Okužba s Covid-19}, {VRTEC}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19, srednje}",12,1.0
"{srednje}, {Sum na okužbo}, {Sum na okužbo}",12,1.0
"{Okužba s Covid-19, SREDNJA ŠOLA}, {Sum na okužbo}",9,0.75
"{Sum na okužbo}, {srednje}, {kratko}",9,0.75
"{srednje}, {SREDNJA ŠOLA, srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA, Sum na okužbo}, {Sum na okužbo}",11,0.9166666666666666
"{Sum na okužbo}, {SREDNJA ŠOLA}, {OSNOVNA ŠOLA}",9,0.75
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA, Okužba s Covid-19}",11,0.9166666666666666
"{kratko}, {Sum na okužbo}, {Okužba s Covid-19}",9,0.75
"{OSNOVNA ŠOLA, srednje}, {srednje}",12,1.0
"{srednje}, {Sum na okužbo}, {srednje}",12,1.0
"{Sum na okužbo}, {Okužba s Covid-19}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{OSNOVNA ŠOLA}, {Sum na okužbo}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{kratko}, {OSNOVNA ŠOLA}, {Okužba s Covid-19}",9,0.75
"{Okužba s Covid-19, SREDNJA ŠOLA}, {srednje}",9,0.75
"{Okužba s Covid-19}, {srednje}, {OSNOVNA ŠOLA}",9,0.75
"{Sum na okužbo}, {SREDNJA ŠOLA}, {Sum na okužbo}",9,0.75
"{srednje}, {Sum na okužbo, srednje}",12,1.0
"{Sum na okužbo}, {OSNOVNA ŠOLA, Sum na okužbo}",12,1.0
"{OSNOVNA ŠOLA, Okužba s Covid-19, srednje}",11,0.9166666666666666
"{Okužba s Covid-19}, {Okužba s Covid-19, srednje}",11,0.9166666666666666
"{Sum na okužbo}, {SREDNJA ŠOLA}, {srednje}",9,0.75
"{kratko}, {Sum na okužbo}, {Sum na okužbo}",9,0.75
"{Sum na okužbo}, {OSNOVNA ŠOLA}, {Okužba s Covid-19}",12,1.0
"{Sum na okužbo}, {VRTEC, srednje}",10,0.8333333333333334
"{Okužba s Covid-19, srednje}, {Okužba s Covid-19}",12,1.0
"{Okužba s Covid-19}, {OSNOVNA ŠOLA, Okužba s Covid-19}",10,0.8333333333333334
"{Sum na okužbo, srednje}, {SREDNJA ŠOLA}",10,0.8333333333333334
"{Sum na okužbo}, {VRTEC}, {Okužba s Covid-19}",9,0.75
"{OSNOVNA ŠOLA, Sum na okužbo}, {Okužba s Covid-19}",11,0.9166666666666666
"{Sum na okužbo, srednje}, {Okužba s Covid-19}",12,1.0
"{kratko}, {Sum na okužbo}, {srednje}",9,0.75
"{Sum na okužbo}, {OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{srednje}, {Okužba s Covid-19, SREDNJA ŠOLA}",10,0.8333333333333334
"{kratko}, {srednje}, {Sum na okužbo}",9,0.75
"{Sum na okužbo}, {SREDNJA ŠOLA, srednje}",10,0.8333333333333334
"{Okužba s Covid-19, srednje}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{OSNOVNA ŠOLA, Sum na okužbo}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{kratko}, {OSNOVNA ŠOLA}, {srednje}",9,0.75
"{OSNOVNA ŠOLA, kratko}, {Okužba s Covid-19}",11,0.9166666666666666
"{srednje}, {SREDNJA ŠOLA}, {Okužba s Covid-19}",10,0.8333333333333334
"{OSNOVNA ŠOLA, Sum na okužbo, srednje}",12,1.0
"{Sum na okužbo}, {OSNOVNA ŠOLA}, {Sum na okužbo}",12,1.0
"{srednje}, {OSNOVNA ŠOLA}, {Sum na okužbo}",12,1.0
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA, srednje}",11,0.9166666666666666
"{SREDNJA ŠOLA, srednje}, {Okužba s Covid-19}",10,0.8333333333333334
"{srednje}, {srednje}, {kratko}",9,0.75
"{Sum na okužbo}, {VRTEC}, {Sum na okužbo}",9,0.75
"{OSNOVNA ŠOLA, kratko}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}, {Okužba s Covid-19}",11,0.9166666666666666
"{srednje}, {OSNOVNA ŠOLA, Okužba s Covid-19}",10,0.8333333333333334
"{Okužba s Covid-19, srednje}, {Sum na okužbo}",12,1.0
"{Sum na okužbo, srednje}, {Sum na okužbo}",12,1.0
"{srednje}, {SREDNJA ŠOLA}, {OSNOVNA ŠOLA}",9,0.75
"{srednje}, {Okužba s Covid-19}, {Okužba s Covid-19}",10,0.8333333333333334
"{Sum na okužbo}, {OSNOVNA ŠOLA}, {srednje}",12,1.0
"{Sum na okužbo, VRTEC, srednje}",10,0.8333333333333334
"{Sum na okužbo}, {Sum na okužbo}, {Okužba s Covid-19}",12,1.0
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{Okužba s Covid-19, srednje}, {srednje}",12,1.0
"{OSNOVNA ŠOLA, Sum na okužbo}, {srednje}",11,0.9166666666666666
"{Sum na okužbo}, {VRTEC}, {srednje}",9,0.75
"{Sum na okužbo}, {Okužba s Covid-19}, {kratko}",9,0.75
"{srednje}, {SREDNJA ŠOLA}, {Sum na okužbo}",9,0.75
"{Sum na okužbo, srednje}, {srednje}",12,1.0
"{kratko}, {srednje}, {Okužba s Covid-19}",10,0.8333333333333334
"{Sum na okužbo}, {Sum na okužbo}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA, Sum na okužbo}",11,0.9166666666666666
"{SREDNJA ŠOLA, srednje}, {Sum na okužbo}",9,0.75
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}, {Sum na okužbo}",11,0.9166666666666666
"{OSNOVNA ŠOLA, kratko}, {srednje}",9,0.75
"{VRTEC}, {Sum na okužbo, srednje}",9,0.75
"{Okužba s Covid-19, srednje}, {VRTEC}",9,0.75
"{srednje}, {SREDNJA ŠOLA}, {srednje}",9,0.75
"{Sum na okužbo}, {srednje}, {Okužba s Covid-19}",12,1.0
"{srednje}, {Okužba s Covid-19}, {Sum na okužbo}",11,0.9166666666666666
"{srednje}, {OSNOVNA ŠOLA}, {Okužba s Covid-19}",12,1.0
"{Okužba s Covid-19}, {OSNOVNA ŠOLA, srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {Okužba s Covid-19}, {Okužba s Covid-19}",12,1.0
"{OSNOVNA ŠOLA, Sum na okužbo, kratko}",10,0.8333333333333334
"{kratko}, {srednje}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{Sum na okužbo}, {Sum na okužbo}, {Sum na okužbo}",12,1.0
"{OSNOVNA ŠOLA, Okužba s Covid-19}, {Okužba s Covid-19}",10,0.8333333333333334
"{VRTEC, srednje}, {Okužba s Covid-19}",9,0.75
"{SREDNJA ŠOLA, srednje}, {srednje}",9,0.75
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}, {srednje}",9,0.75
"{Sum na okužbo}, {srednje}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{srednje}, {Okužba s Covid-19}, {srednje}",11,0.9166666666666666
"{srednje}, {OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{kratko}, {Sum na okužbo, srednje}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{Okužba s Covid-19}, {OSNOVNA ŠOLA}, {Okužba s Covid-19}",11,0.9166666666666666
"{Sum na okužbo}, {Sum na okužbo}, {srednje}",12,1.0
"{Sum na okužbo}, {OSNOVNA ŠOLA, Okužba s Covid-19}",11,0.9166666666666666
"{srednje}, {Okužba s Covid-19, srednje}",12,1.0
"{Sum na okužbo, srednje}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{Sum na okužbo, VRTEC}, {Okužba s Covid-19}",9,0.75
"{Okužba s Covid-19, srednje}, {kratko}",9,0.75
"{Sum na okužbo}, {srednje}, {Sum na okužbo}",12,1.0
"{Okužba s Covid-19}, {OSNOVNA ŠOLA, Sum na okužbo}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19}, {Sum na okužbo}",12,1.0
"{kratko}, {srednje}, {srednje}",9,0.75
"{srednje}, {OSNOVNA ŠOLA, srednje}",12,1.0
"{OSNOVNA ŠOLA}, {srednje}, {Okužba s Covid-19}",12,1.0
"{OSNOVNA ŠOLA, Okužba s Covid-19}, {Sum na okužbo}",10,0.8333333333333334
"{VRTEC, srednje}, {Sum na okužbo}",9,0.75
"{Okužba s Covid-19, SREDNJA ŠOLA, srednje}",10,0.8333333333333334
"{Sum na okužbo}, {Sum na okužbo, srednje}",12,1.0
"{VRTEC}, {Okužba s Covid-19, srednje}",9,0.75
"{Sum na okužbo}, {srednje}, {srednje}",12,1.0
"{Okužba s Covid-19}, {VRTEC, srednje}",9,0.75
"{Sum na okužbo, kratko}, {Okužba s Covid-19}",10,0.8333333333333334
"{srednje}, {OSNOVNA ŠOLA}, {srednje}",12,1.0
"{VRTEC}, {srednje}, {srednje}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19}, {srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {srednje}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{SREDNJA ŠOLA, srednje}, {OSNOVNA ŠOLA}",10,0.8333333333333334
